,ImageName,bbox,left_x,top_y,bbox_width,bbox_height
0,1_original.jpg,"{""name"":""rect"",""x"":1123,""y"":775,""width"":134,""height"":52}",1123.0,775.0,134.0,52.0
1,2_original.jpg,"{""name"":""rect"",""x"":520,""y"":414,""width"":564,""height"":190}",520.0,414.0,564.0,190.0
2,3_original.jpg,"{""name"":""rect"",""x"":442,""y"":236,""width"":370,""height"":120}",442.0,236.0,370.0,120.0
3,4_original.jpg,"{""name"":""rect"",""x"":517,""y"":411,""width"":404,""height"":173}",517.0,411.0,404.0,173.0
4,5_original.jpg,"{""name"":""rect"",""x"":340,""y"":227,""width"":470,""height"":174}",340.0,227.0,470.0,174.0
5,6_original.jpg,"{""name"":""rect"",""x"":311,""y"":203,""width"":406,""height"":152}",311.0,203.0,406.0,152.0
6,7_original.jpg,"{""name"":""rect"",""x"":381,""y"":170,""width"":624,""height"":264}",381.0,170.0,624.0,264.0
7,8_original.jpg,"{""name"":""rect"",""x"":560,""y"":273,""width"":65,""height"":183}",560.0,273.0,65.0,183.0
8,9_original.jpg,"{""name"":""rect"",""x"":318,""y"":208,""width"":487,""height"":159}",318.0,208.0,487.0,159.0
9,10_original.jpg,"{""name"":""rect"",""x"":306,""y"":182,""width"":131,""height"":129}",306.0,182.0,131.0,129.0
10,11_original.jpg,"{""name"":""rect"",""x"":225,""y"":175,""width"":135,""height"":90}",225.0,175.0,135.0,90.0
11,12_original.jpg,"{""name"":""rect"",""x"":184,""y"":149,""width"":252,""height"":95}",184.0,149.0,252.0,95.0
12,13_original.jpg,"{""name"":""rect"",""x"":258,""y"":159,""width"":144,""height"":73}",258.0,159.0,144.0,73.0
13,14_original.jpg,"{""name"":""rect"",""x"":202,""y"":182,""width"":207,""height"":78}",202.0,182.0,207.0,78.0
14,15_original.jpg,"{""name"":""rect"",""x"":89,""y"":138,""width"":329,""height"":201}",89.0,138.0,329.0,201.0
15,16_original.jpg,"{""name"":""rect"",""x"":174,""y"":126,""width"":297,""height"":98}",174.0,126.0,297.0,98.0
16,17_original.jpg,"{""name"":""rect"",""x"":124,""y"":227,""width"":410,""height"":101}",124.0,227.0,410.0,101.0
17,18_original.jpg,"{""name"":""rect"",""x"":111,""y"":95,""width"":148,""height"":95}",111.0,95.0,148.0,95.0
18,19_original.jpg,"{""name"":""rect"",""x"":167,""y"":241,""width"":108,""height"":60}",167.0,241.0,108.0,60.0
19,20_original.jpg,"{""name"":""rect"",""x"":285,""y"":200,""width"":148,""height"":54}",285.0,200.0,148.0,54.0
20,21_original.jpg,"{""name"":""rect"",""x"":187,""y"":211,""width"":228,""height"":78}",187.0,211.0,228.0,78.0
21,22_original.jpg,"{""name"":""rect"",""x"":240,""y"":127,""width"":193,""height"":75}",240.0,127.0,193.0,75.0
22,23_original.jpg,"{""name"":""rect"",""x"":197,""y"":365,""width"":635,""height"":224}",197.0,365.0,635.0,224.0
23,24_original.jpg,"{""name"":""rect"",""x"":350,""y"":309,""width"":235,""height"":290}",350.0,309.0,235.0,290.0
24,25_original.jpg,"{""name"":""rect"",""x"":259,""y"":379,""width"":124,""height"":56}",259.0,379.0,124.0,56.0
25,26_original.jpg,"{""name"":""rect"",""x"":644,""y"":540,""width"":107,""height"":101}",644.0,540.0,107.0,101.0
26,27_original.jpg,"{""name"":""rect"",""x"":464,""y"":175,""width"":144,""height"":331}",464.0,175.0,144.0,331.0
27,28_original.jpg,"{""name"":""rect"",""x"":172,""y"":260,""width"":174,""height"":56}",172.0,260.0,174.0,56.0
28,29_original.jpg,"{""name"":""rect"",""x"":494,""y"":319,""width"":534,""height"":149}",494.0,319.0,534.0,149.0
29,30_original.jpg,"{""name"":""rect"",""x"":305,""y"":360,""width"":341,""height"":147}",305.0,360.0,341.0,147.0
30,31_original.jpg,"{""name"":""rect"",""x"":273,""y"":119,""width"":157,""height"":83}",273.0,119.0,157.0,83.0
31,32_original.jpg,"{""name"":""rect"",""x"":183,""y"":260,""width"":195,""height"":141}",183.0,260.0,195.0,141.0
32,33_originial.jpg,"{""name"":""rect"",""x"":168,""y"":188,""width"":147,""height"":192}",168.0,188.0,147.0,192.0
33,34_original.jpg,"{""name"":""rect"",""x"":119,""y"":129,""width"":125,""height"":238}",119.0,129.0,125.0,238.0
34,35_original.jpg,"{""name"":""rect"",""x"":269,""y"":301,""width"":135,""height"":90}",269.0,301.0,135.0,90.0
35,36_original.jpg,"{""name"":""rect"",""x"":157,""y"":218,""width"":298,""height"":76}",157.0,218.0,298.0,76.0
36,37_original.jpg,"{""name"":""rect"",""x"":368,""y"":168,""width"":538,""height"":234}",368.0,168.0,538.0,234.0
