,ImageName,city,year,Unnamed: 0
0,1_original.jpg,birmingham,1914,0.0
1,2_original.jpg,birmingham,1917,1.0
2,3_original.jpg,birmingham,1901,2.0
3,4_original.jpg,sheffield,1901,3.0
4,5_original.jpg,birmingham,1904,4.0
5,6_original.jpg,chester,1921,5.0
6,7_original.jpg,chester,1903,6.0
7,9_original.jpg,sheffield,1902,8.0
8,10_original.jpg,birmingham,2000,9.0
9,11_original.jpg,birmingham,1994,10.0
10,12_original.jpg,london,1985,11.0
11,13_original.jpg,sheffield,2002,12.0
12,14_original.jpg,birmingham,1923,13.0
13,16_original.jpg,london,1970,15.0
14,17_original.jpg,london,1978,16.0
15,18_original.jpg,london,1978,17.0
16,19_original.jpg,sheffield,1978,18.0
17,20_original.jpg,birmingham,1945,19.0
18,21_original.jpg,birmingham,1909,20.0
19,22_original.jpg,london,1990,21.0
20,23_original.jpg,london,1971,22.0
21,24_original.jpg,london,1938,23.0
22,25_original.jpg,london,1978,24.0
23,26_original.jpg,london,1902,25.0
24,27_original.jpg,birmingham,1991,26.0
25,28_original.jpg,london,2017,27.0
26,29_original.jpg,sheffield,2001,28.0
27,30_original.jpg,birmingham,1903,29.0
28,31_original.jpg,london,1978,30.0
29,32_original.jpg,london,1978,31.0
30,33_original.jpg,london,1972,32.0
31,34_original.jpg,london,1982,33.0
32,36_original.jpg,sheffield,1973,35.0
33,37_original.jpg,birmingham,1973,36.0
34,38_original.jpg,london,1969,37.0
35,39_original.jpg,sheffield,1950,38.0
36,40_original.jpg,birmingham,1935,39.0
37,41_original.jpg,london,1932,40.0
38,43_original.jpg,london,1979,42.0
39,44_original.jpg,birmingham,1950,43.0
40,45_original.jpg,sheffield,1975,44.0
41,46_original.jpg,london,1945,45.0
42,47_original.jpg,birmingham,1912,46.0
43,48_original.jpg,birmingham,1912,47.0
44,49_original.jpg,birmingham,1913,48.0
45,50_original.jpg,birmingham,1913,49.0
46,52_original.jpg,birmingham,1899,51.0
47,53_original.jpg,birmingham,1900,52.0
48,54_original.jpg,birmingham,1903,53.0
49,55_original.jpg,birmingham,1938,54.0
50,56_original.jpg,birmingham,1910,55.0
51,57_original.jpg,birmingham,1909,56.0
52,58_original.jpg,birmingham,1895,57.0
53,59_original.jpg,birmingham,2020,58.0
54,60_original.jpg,birmingham,1905,59.0
55,61_original.jpg,birmingham,1923,60.0
56,62_original.jpg,birmingham,1898,61.0
57,63_original.jpg,birmingham,1898,62.0
58,64_original.jpg,birmingham,1914,63.0
59,66_original.jpg,birmingham,1913,65.0
60,68_original.jpg,birmingham,1931,67.0
61,69_original.jpg,birmingham,1904,68.0
62,70_original.jpg,birmingham,1892,69.0
63,71_original.jpg,london,1838,70.0
64,72_original.jpg,birmingham,1892,71.0
65,73_original.jpg,birmingham,1899,72.0
66,74_original.jpg,birmingham,1909,73.0
67,75_original.jpg,birmingham,1906,74.0
68,76_original.jpg,birmingham,1938,75.0
69,77_original.jpg,london,1824,76.0
70,78_original.jpg,london,1890,77.0
71,79_original.jpg,sheffield,1910,78.0
72,80_original.jpg,birmingham,1971,79.0
73,81_original.jpg,chester,1921,80.0
74,82_original.jpg,birmingham,1909,81.0
75,83_original.jpg,london,1818,82.0
76,84_original.jpg,london,1741,83.0
77,85_original.jpg,london,1975,84.0
78,86_original.jpg,birmingham,1934,85.0
79,87_original.jpg,london,1817,86.0
80,88_original.jpg,chester,1929,87.0
81,90_original.jpg,london,1961,89.0
82,91_original.jpg,birmingham,1853,90.0
83,92_original.jpg,birmingham,1936,91.0
84,93_original.jpg,birmingham,1907,92.0
85,94_original.jpg,london,1823,93.0
86,95_original.jpg,birmingham,1922,94.0
87,96_original.jpg,sheffield,1899,95.0
88,97_original.jpg,sheffield,1973,96.0
89,98_original.jpg,birmingham,1913,97.0
90,99_original.jpg,london,1986,98.0
91,100_original.jpg,london,1812,99.0
92,101_original.jpg,london,1805,100.0
93,102_original.jpg,dublin,1976,101.0
94,103_original.jpg,london,1985,102.0
95,104_original.jpg,edinburgh,1955,103.0
96,105_original.jpg,sheffield,1961,104.0
97,107_original.jpg,london,1895,106.0
98,108_original.jpg,birmingham,1968,107.0
99,109_original.jpg,sheffield,1912,108.0
100,110_original.jpg,london,1825,109.0
101,111_original.jpg,london,1825,110.0
102,112_original.jpg,sheffield,1919,111.0
103,113_original.jpg,sheffield,1924,112.0
104,114_original.jpg,sheffield,1930,113.0
105,115_original.jpg,birmingham,1917,114.0
106,116_original.jpg,birmingham,1901,115.0
107,117_original.jpg,birmingham,1913,116.0
108,118_original.jpg,birmingham,1941,117.0
109,119_original.jpg,birmingham,1928,118.0
110,122_original.jpg,chester,1913,121.0
111,123_original.jpg,birmingham,1931,122.0
112,126_original.jpg,birmingham,1930,125.0
113,127_original.jpg,london,1927,126.0
114,129_original.jpg,birmingham,1921,128.0
115,131_original.jpg,chester,1929,130.0
116,132_original.jpg,london,1891,131.0
117,133_original.jpg,birmingham,1936,132.0
118,134_original.jpg,birmingham,1901,133.0
119,135_original.jpg,london,1988,134.0
120,137_original.jpg,birmingham,1901,136.0
121,138_original.jpg,birmingham,2020,137.0
122,139_original.jpg,birmingham,2005,138.0
123,140_original.jpg,glasgow,1838,139.0
124,141_original.jpg,glasgow,1838,140.0
125,142_original.jpg,birmingham,1932,141.0
126,143_original.jpg,london,1902,142.0
127,145_original.jpg,london,1952,144.0
128,146_original.jpg,birmingham,1936,145.0
129,148_original.jpg,london,1926,147.0
130,149_original.jpg,london,1932,148.0
131,151_original.jpg,london,1932,150.0
132,152_original.jpg,london,1932,151.0
133,153_original.jpg,london,1932,152.0
134,155_original.jpg,london,1932,154.0
135,156_original.jpg,london,1932,155.0
136,157_original.jpg,london,1932,156.0
137,158_original.jpg,london,1932,157.0
138,159_original.jpg,london,1932,158.0
139,160_original.jpg,sheffield,1932,159.0
140,161_original.jpg,london,1916,160.0
141,162_original.jpg,london,1932,161.0
142,164_original.jpg,london,1932,163.0
143,166_original.jpg,london,1932,165.0
144,168_original.jpg,birmingham,1977,167.0
145,170_original.jpg,london,1788,169.0
146,171_original.jpg,london,1788,170.0
147,173_original.jpg,birmingham,1918,172.0
148,175_original.jpg,birmingham,1971,174.0
149,176_original.jpg,birmingham,1972,175.0
150,179_original.jpg,london,1922,178.0
151,180_original.jpg,sheffield,1927,179.0
152,181_original.jpg,london,1904,180.0
153,182_original.jpg,london,1901,181.0
154,183_original.jpg,sheffield,1874,182.0
155,184_original.jpg,london,1898,183.0
156,189_original.jpg,london,1870,188.0
157,191_original.jpg,birmingham,1902,190.0
158,192_original.jpg,birmingham,1949,191.0
159,193_original.jpg,birmingham,1949,192.0
160,195_original.jpg,sheffield,1940,194.0
161,197_original.jpg,sheffield,1955,196.0
162,198_original.jpg,sheffield,1957,197.0
163,199_original.jpg,edinburgh,1814,198.0
164,200_original.jpg,birmingham,1977,199.0
165,201_original.jpg,birmingham,1925,200.0
166,202_original.jpg,london,1939,201.0
167,203_original.jpg,london,1922,202.0
168,204_original.jpg,sheffield,1911,203.0
169,205_original.jpg,london,1792,204.0
170,206_original.jpg,london,1906,205.0
171,207_original.jpg,sheffield,1896,206.0
172,208_original.jpg,london,1901,207.0
173,209_original.jpg,birmingham,1899,208.0
